Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1956,500540.7462686567,,,0.62,
1956,577547.0149253731,0.78,0.78,,0.71
1956,616050.1492537314,,,0.65,
1956,673804.8507462686,0.81,0.81,,0.74
1956,731559.5522388059,,,0.6900000000000001,
1956,770062.6865671641,0.84,0.84,,0.76
1956,847068.9552238806,,,0.72,
1956,866320.5223880596,0.87,0.87,,0.8
1956,962578.3582089551,0.89,0.89,0.75,0.8300000000000001
1956,1155094.0298507463,,,0.78,
1956,1347609.7014925373,,,0.81,
1956,1443867.537313433,0.9,0.9,,0.87
1956,1540125.3731343283,,,0.84,
1956,1732641.0447761193,,,0.87,
1956,1925156.7164179103,0.91,0.91,0.89,0.9
1956,2887735.074626866,,,0.9,0.91
1956,3850313.4328358206,,,0.91,
1957,0.0,0.2,0.2,0.2,0.2
1957,18693.55072463768,0.22,0.22,,0.21
1957,37387.10144927536,0.26,0.26,0.22,0.24
1957,56080.65217391304,0.3,0.3,,0.26
1957,74774.20289855072,0.34,0.34,0.26,0.3
1957,93467.7536231884,0.38,0.38,,0.32
1957,112161.30434782608,0.43,0.43,0.3,0.36
1957,130854.85507246376,0.47,0.47,,0.39
1957,149548.40579710144,0.5,0.5,0.34,0.42
1957,168241.95652173914,0.53,0.53,,0.43
1957,186935.5072463768,0.56,0.56,0.38,0.47
1957,205629.0579710145,0.59,0.59,,0.49
1957,224322.60869565216,,,0.43,0.52
1957,243016.15942028986,0.62,0.62,,
1957,261709.71014492752,,,0.47,0.54
1957,299096.8115942029,0.65,0.65,0.5,0.58
1957,336483.9130434783,,,0.53,
1957,355177.4637681159,0.6900000000000001,0.6900000000000001,,0.62
1957,373871.0144927536,,,0.56,
1957,411258.115942029,0.72,0.72,0.59,0.66
1957,467338.768115942,0.75,0.75,,0.68
1957,486032.3188405797,,,0.62,
1957,560806.5217391304,0.78,0.78,,0.71
1957,598193.6231884058,,,0.65,
1957,654274.2753623188,0.81,0.81,,0.74
1957,710354.9275362318,,,0.6900000000000001,
1957,747742.0289855072,0.84,0.84,,0.76
1957,822516.231884058,,,0.72,
1957,841209.7826086956,0.87,0.87,,0.8
1957,934677.536231884,0.89,0.89,0.75,0.8300000000000001
1957,1121613.0434782607,,,0.78,
1957,1308548.5507246377,,,0.81,
1957,1402016.304347826,0.9,0.9,,0.87
1957,1495484.0579710144,,,0.84,
1957,1682419.5652173911,,,0.87,
1957,1869355.072463768,0.91,0.91,0.89,0.9
