Year,Status,20000,30000,40000,50000,70000,100000,150000,200000,250000,300000,500000,800000,1000000,1500000,2000000,5000000,10000000,20000000,50000000,100000000,500000000,1000000000
1961,Single,0.22,0.22,0.26,0.26,0.34,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1962,Head of Household,0.21,0.21,0.24,0.24,0.3,0.32,0.42,0.49,0.54,0.58,0.68,0.8,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1962,Married Filing Jointly,0.2,0.2,0.22,0.22,0.26,0.26,0.34,0.38,0.47,0.5,0.62,0.72,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1962,Married Filing Seperately,0.22,0.22,0.26,0.26,0.34,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1962,Single,0.22,0.22,0.26,0.26,0.34,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1963,Head of Household,0.21,0.21,0.24,0.24,0.3,0.32,0.42,0.49,0.54,0.58,0.68,0.8,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1963,Married Filing Jointly,0.2,0.2,0.22,0.22,0.26,0.26,0.34,0.38,0.47,0.5,0.62,0.72,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1963,Married Filing Seperately,0.22,0.22,0.26,0.26,0.34,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1963,Single,0.22,0.22,0.26,0.26,0.34,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1964,Head of Household,0.19,0.19,0.22,0.22,0.27,0.29,0.375,0.435,0.485,0.515,0.61,0.6950000000000001,0.71,0.75,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
1964,Married Filing Jointly,0.17500000000000002,0.18,0.2,0.2,0.235,0.235,0.305,0.34,0.41,0.445,0.56,0.635,0.66,0.735,0.765,0.77,0.77,0.77,0.77,0.77,0.77,0.77
1964,Married Filing Seperately,0.2,0.2,0.235,0.235,0.305,0.34,0.445,0.535,0.56,0.585,0.66,0.75,0.765,0.765,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
1964,Single,0.2,0.2,0.235,0.235,0.305,0.34,0.445,0.535,0.56,0.585,0.66,0.75,0.765,0.765,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
1965,Head of Household,0.18,0.18,0.2,0.22,0.25,0.31,0.36,0.43,0.46,0.5,0.58,0.64,0.67,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1965,Married Filing Jointly,0.16,0.17,0.19,0.19,0.22,0.25,0.28,0.36,0.39,0.45,0.53,0.6,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1965,Married Filing Seperately,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.55,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1965,Single,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.55,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1966,Head of Household,0.18,0.18,0.2,0.22,0.25,0.31,0.36,0.43,0.46,0.5,0.58,0.64,0.67,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1966,Married Filing Jointly,0.16,0.17,0.19,0.19,0.22,0.25,0.28,0.36,0.39,0.45,0.53,0.6,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1966,Married Filing Seperately,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.55,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1966,Single,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.55,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1967,Head of Household,0.18,0.18,0.2,0.22,0.25,0.31,0.36,0.43,0.46,0.52,0.58,0.66,0.67,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1967,Married Filing Jointly,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1967,Married Filing Seperately,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1967,Single,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.5,0.53,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
